"","mNeighborhood","YearMonth","Gun","Any.Weapon","Num.Crimes"
"477","West River",200112,"0",0,96
"478","West Rock",200112,"0",0,131
"479","Westville",200112,"0",0,41
"480","Wooster Square/Mill River",200112,"0",0,94
"481","Amity",200201,"0",0,113
"482","Annex",200201,"0",0,117
"483","Beaver Hills",200201,"0",0,122
"484","Dixwell",200201,"0",0,143
"485","Downtown",200201,"0",0,334
"486","Dwight",200201,"0",0,139
"487","East Rock",200201,"0",0,125
"488","East Shore",200201,"0",0,33
"489","Edgewood",200201,"0",0,104
"490","Fair Haven",200201,"0",0,384
"491","Fair Haven Heights",200201,"0",0,87
"492","Hill",200201,"0",0,495
"493","Long Wharf",200201,"0",0,110
"494","Newhallville",200201,"0",0,162
"495","Prospect Hill",200201,"0",0,48
"496","Quinnipiac",200201,"0",0,124
"497","West River",200201,"0",0,104
"498","West Rock",200201,"0",0,119
"499","Westville",200201,"0",0,55
"500","Wooster Square/Mill River",200201,"0",0,123
"501","Amity",200202,"0",0,139
"502","Annex",200202,"0",0,92
"503","Beaver Hills",200202,"0",0,115
"504","Dixwell",200202,"0",0,162
"505","Downtown",200202,"0",0,317
"506","Dwight",200202,"0",0,116
"507","East Rock",200202,"0",0,95
"508","East Shore",200202,"0",0,33
"509","Edgewood",200202,"0",0,118
"510","Fair Haven",200202,"0",0,311
"511","Fair Haven Heights",200202,"0",0,78
"512","Hill",200202,"0",0,484
"513","Long Wharf",200202,"0",0,89
"514","Newhallville",200202,"0",0,124
"515","Prospect Hill",200202,"0",0,46
"516","Quinnipiac",200202,"0",0,86
"517","West River",200202,"0",0,94
"518","West Rock",200202,"0",0,106
"519","Westville",200202,"0",0,42
"520","Wooster Square/Mill River",200202,"0",0,164
"521","Amity",200203,"0",0,149
"522","Annex",200203,"0",0,133
"523","Beaver Hills",200203,"0",0,128
"524","Dixwell",200203,"0",0,140
"525","Downtown",200203,"0",0,321
"526","Dwight",200203,"0",0,137
"527","East Rock",200203,"0",0,119
"528","East Shore",200203,"0",0,39
"529","Edgewood",200203,"0",0,130
"530","Fair Haven",200203,"0",0,394
"531","Fair Haven Heights",200203,"0",0,92
"532","Hill",200203,"0",0,532
"533","Long Wharf",200203,"0",0,111
"534","Newhallville",200203,"0",0,182
"535","Prospect Hill",200203,"0",0,58
"536","Quinnipiac",200203,"0",0,92
"537","West River",200203,"0",0,116
"538","West Rock",200203,"0",0,141
"539","Westville",200203,"0",0,53
"540","Wooster Square/Mill River",200203,"0",0,129
"541","Amity",200204,"0",0,122
"542","Annex",200204,"0",0,124
"543","Beaver Hills",200204,"0",0,96
"544","Dixwell",200204,"0",0,132
"545","Downtown",200204,"0",0,343
"546","Dwight",200204,"0",0,120
"547","East Rock",200204,"0",0,118
"548","East Shore",200204,"0",0,37
"549","Edgewood",200204,"0",0,132
"550","Fair Haven",200204,"0",0,407
"551","Fair Haven Heights",200204,"0",0,74
"552","Hill",200204,"0",0,565
"553","Long Wharf",200204,"0",0,118
"554","Newhallville",200204,"0",0,178
"555","Prospect Hill",200204,"0",0,49
"556","Quinnipiac",200204,"0",0,95
"557","West River",200204,"0",0,115
"558","West Rock",200204,"0",0,138
"559","Westville",200204,"0",0,44
"560","Wooster Square/Mill River",200204,"0",0,118
"561","Amity",200205,"0",0,143
"562","Annex",200205,"0",0,107
"563","Beaver Hills",200205,"0",0,105
"564","Dixwell",200205,"0",0,127
"565","Downtown",200205,"0",0,286
"566","Dwight",200205,"0",0,139
"567","East Rock",200205,"0",0,83
"568","East Shore",200205,"0",0,48
"569","Edgewood",200205,"0",0,159
"570","Fair Haven",200205,"0",0,367
"571","Fair Haven Heights",200205,"0",0,103
"572","Hill",200205,"0",0,561
"573","Long Wharf",200205,"0",0,111
"574","Newhallville",200205,"0",0,164
"575","Prospect Hill",200205,"0",0,75
"576","Quinnipiac",200205,"0",0,129
"577","West River",200205,"0",0,146
"578","West Rock",200205,"0",0,153
"579","Westville",200205,"0",0,80
"580","Wooster Square/Mill River",200205,"0",0,116
"581","Amity",200206,"0",0,115
"582","Annex",200206,"0",0,124
"583","Beaver Hills",200206,"0",0,87
"584","Dixwell",200206,"0",0,181
"585","Downtown",200206,"0",0,318
"586","Dwight",200206,"0",0,162
"587","East Rock",200206,"0",0,121
"588","East Shore",200206,"0",0,67
"589","Edgewood",200206,"0",0,112
"590","Fair Haven",200206,"0",0,415
"591","Fair Haven Heights",200206,"0",0,82
"592","Hill",200206,"0",0,566
"593","Long Wharf",200206,"0",0,93
"594","Newhallville",200206,"0",0,164
"595","Prospect Hill",200206,"0",0,57
"596","Quinnipiac",200206,"0",0,122
"597","West River",200206,"0",0,108
"598","West Rock",200206,"0",0,124
"599","Westville",200206,"0",0,47
"600","Wooster Square/Mill River",200206,"0",0,106
"601","Amity",200207,"0",0,143
"602","Annex",200207,"0",0,130
"603","Beaver Hills",200207,"0",0,88
"604","Dixwell",200207,"0",0,146
"605","Downtown",200207,"0",0,411
"606","Dwight",200207,"0",0,182
"607","East Rock",200207,"0",0,149
"608","East Shore",200207,"0",0,50
"609","Edgewood",200207,"0",0,157
"610","Fair Haven",200207,"0",0,405
"611","Fair Haven Heights",200207,"0",0,78
"612","Hill",200207,"0",0,567
"613","Long Wharf",200207,"0",0,126
"614","Newhallville",200207,"0",0,168
"615","Prospect Hill",200207,"0",0,70
"616","Quinnipiac",200207,"0",0,115
"617","West River",200207,"0",0,135
"618","West Rock",200207,"0",0,134
"619","Westville",200207,"0",0,58
"620","Wooster Square/Mill River",200207,"0",0,125
"621","Amity",200208,"0",0,138
"622","Annex",200208,"0",0,105
"623","Beaver Hills",200208,"0",0,77
"624","Dixwell",200208,"0",0,153
"625","Downtown",200208,"0",0,382
"626","Dwight",200208,"0",0,170
