"time","response","mean","lower","upper","baseline","metric"
289,3.027782384,3.39064326744197,1.55079588479757,5.04563200417309,NA,"original"
290,3.52604359,3.39047763543945,1.58864174996009,5.14533472615858,NA,"original"
291,3.304471778,3.39066366335207,1.60430640073966,4.99047523780782,NA,"original"
292,3.547946046,3.39070767807768,1.80463986998039,5.15475047995466,NA,"original"
293,2.275353113,3.39133204767844,1.65087618790757,5.11884447208929,NA,"original"
294,1.661332089,3.39082531400205,1.67637609619695,5.05721432110347,NA,"original"
295,1.926935063,3.3906610634484,1.75750827341191,5.2133199626618,NA,"original"
296,1.62170972,3.39076902575363,1.68683319517633,5.17808416859036,NA,"original"
297,1.438151585,3.3902216378684,1.67673355258856,5.12266496398121,NA,"original"
298,1.502728603,3.39064384519772,1.49545056941737,5.14557645594273,NA,"original"
299,3.993771472,3.39091531863334,1.56601245526758,5.08635840292987,NA,"original"
300,1.396976966,3.39096307699001,1.58459729889069,5.26618918872846,NA,"original"
301,1.263927216,3.39099636079132,1.86010560258516,5.25986696666607,NA,"original"
302,0.904366147,3.39139581806677,1.67829350976004,5.15794170345106,NA,"original"
303,1.14905324,3.3911306634109,1.65682729856311,5.21377381912645,NA,"original"
304,3.266874667,3.3909023873238,1.67337695633953,5.09309538333947,NA,"original"
305,2.878518978,3.39135354178987,1.56900413505473,5.09226008846092,NA,"original"
306,4.42497506,3.39157039408722,1.66779024020833,5.05569705965857,NA,"original"
307,3.192641357,3.391445357442,1.75130593242271,5.30576698372321,NA,"original"
308,2.952133739,3.39114550273394,1.59330719428835,5.13085302414601,NA,"original"
309,3.263142495,3.39146429419427,1.61622693235996,5.17981770964849,NA,"original"
310,4.965380984,3.39188723980286,1.59911425135307,5.23569583097299,NA,"original"
311,3.489050085,3.39205082934239,1.65959908604531,4.9962104942271,NA,"original"
312,1.162742481,3.39257107073663,1.63527588501422,5.2809655875955,NA,"original"
313,1.675714025,3.39244602878011,1.61573933517943,5.19009709188071,NA,"original"
314,1.726006328,3.39300112402763,1.70968462140234,5.0956897504037,NA,"original"
315,1.163714466,3.39289480772101,1.69007946396149,5.12864676983665,NA,"original"
316,0.904818028,3.39303850318724,1.71460745464589,5.17115608004854,NA,"original"
317,1.637566176,3.39346977696928,1.65302698815013,5.24496523230312,NA,"original"
318,1.684250564,3.39348883296983,1.48829074599201,5.19694316490955,NA,"original"
319,1.311276456,3.39319275526896,1.56980842918646,5.17713963601276,NA,"original"
320,0.592644692,3.39299149700477,1.65908586140237,5.10082133828731,NA,"original"
321,2.068897267,3.39328258489288,1.70573669057178,5.12665956445946,NA,"original"
322,2.502004106,3.39314878194934,1.67022284579331,5.07555001074396,NA,"original"
323,2.395741093,3.39320708362273,1.65830584855544,5.26083329631,NA,"original"
324,2.932805307,3.39281372649711,1.69650355370093,5.09039141332863,NA,"original"
325,3.702236665,3.39301390969221,1.71178621513544,5.07450532557539,NA,"original"
326,3.034093094,3.39344525737377,1.52292411300845,5.28083543247434,NA,"original"
327,3.25040536,3.39278321333569,1.64610899982486,5.28121595700263,NA,"original"
328,1.468893977,3.39252172904688,1.59231201469243,5.07669623556483,NA,"original"
329,0.714860676,3.3924062039958,1.77825370982047,5.17211681505914,NA,"original"
330,1.090447044,3.39252894446613,1.71057388599407,5.09392981002444,NA,"original"
331,2.542733505,3.39237324575636,1.53210347405267,5.17884940533412,NA,"original"
332,1.019724393,3.3926332918762,1.48520051812039,5.17076156174599,NA,"original"
333,1.368920846,3.39331508772121,1.56368224477157,5.00215064759165,NA,"original"
334,1.778721135,3.39283260033027,1.73820637483605,5.09063404404299,NA,"original"
335,2.702147732,3.39221961367517,1.64472317877445,5.07341192242344,NA,"original"
336,1.698473396,3.39189062104167,1.78462679566644,5.11381950423846,NA,"original"
337,2.050861699,3.39242713881448,1.64991413800614,5.1097363258978,NA,"original"
338,2.658515413,3.3915424942697,1.58751725333116,5.18475523406772,NA,"original"
339,2.974124581,3.39142032158641,1.67244710043675,5.21644298332396,NA,"original"
340,3.252856393,3.39169957176283,1.73368082147266,5.02173967142659,NA,"original"
341,3.345954952,3.39241516770371,1.67794250978153,5.26307185272061,NA,"original"
342,3.18690934,3.39236624306865,1.64400559462289,5.17038129846366,NA,"original"
343,3.561391825,3.39244942034893,1.61814868122329,5.17068576689922,NA,"original"
344,3.319163691,3.39224149309564,1.60791616318386,5.17825465470757,NA,"original"
345,0.943447385,3.39269775328976,1.63753099510186,5.22611514320917,NA,"original"
346,0.672296325,3.39298169460347,1.52216695085804,5.18602605610859,NA,"original"
347,2.228341232,3.39344196343452,1.55413976031377,5.28443128660051,NA,"original"
348,1.399445666,3.39358126127443,1.59474377932636,5.16921179689701,NA,"original"
349,0.55594203,3.39401193988171,1.65778979929297,5.12336464966592,NA,"original"
