"Date","Time","Variable","Value"
2020-01-03,"23:35:00","Glucose",57
2020-01-03,"23:40:00","Glucose",61
2020-01-03,"23:45:00","Glucose",69
2020-01-03,"23:50:00","Glucose",75
2020-01-03,"23:55:00","Glucose",79
2020-01-04,"00:00:00","Glucose",76
2020-01-04,"00:05:00","Glucose",73
2020-01-04,"00:10:00","Glucose",74
2020-01-04,"00:15:00","Glucose",77
2020-01-04,"00:20:00","Glucose",82
2020-01-04,"00:25:00","Glucose",87
2020-01-04,"00:30:00","Glucose",92
2020-01-04,"00:35:00","Glucose",95
2020-01-04,"00:40:00","Glucose",93
2020-01-04,"00:45:00","Glucose",86
2020-01-04,"00:50:00","Glucose",91
2020-01-04,"00:55:00","Glucose",93
2020-01-04,"01:00:00","Glucose",97
2020-01-04,"01:05:00","Glucose",101
2020-01-04,"01:10:00","Glucose",106
2020-01-04,"01:15:00","Glucose",109
2020-01-04,"01:20:00","Glucose",110
2020-01-04,"01:25:00","Glucose",112
2020-01-04,"01:30:00","Glucose",113
2020-01-04,"01:35:00","Glucose",119
2020-01-04,"01:40:00","Glucose",123
2020-01-04,"01:45:00","Glucose",127
2020-01-04,"01:50:00","Glucose",129
2020-01-04,"01:55:00","Glucose",130
2020-01-04,"02:00:00","Glucose",130
2020-01-04,"02:05:00","Glucose",127
2020-01-04,"02:10:00","Glucose",122
2020-01-04,"02:15:00","Glucose",120
2020-01-04,"02:20:00","Glucose",118
2020-01-04,"02:25:00","Glucose",116
2020-01-04,"02:30:00","Glucose",118
2020-01-04,"02:35:00","Glucose",118
2020-01-04,"02:40:00","Glucose",118
2020-01-04,"02:45:00","Glucose",118
2020-01-04,"02:50:00","Glucose",116
2020-01-04,"02:55:00","Glucose",116
2020-01-04,"03:00:00","Glucose",115
2020-01-04,"03:05:00","Glucose",113
2020-01-04,"03:10:00","Glucose",114
2020-01-04,"03:15:00","Glucose",116
2020-01-04,"03:20:00","Glucose",109
2020-01-04,"03:25:00","Glucose",99
2020-01-04,"03:30:00","Glucose",91
2020-01-04,"03:35:00","Glucose",87
2020-01-04,"03:40:00","Glucose",90
2020-01-04,"03:45:00","Glucose",94
2020-01-04,"03:50:00","Glucose",87
2020-01-04,"03:55:00","Glucose",85
2020-01-04,"04:00:00","Glucose",93
2020-01-04,"04:05:00","Glucose",96
2020-01-04,"04:10:00","Glucose",95
2020-01-04,"04:15:00","Glucose",94
2020-01-04,"04:20:00","Glucose",92
2020-01-04,"04:25:00","Glucose",91
2020-01-04,"04:30:00","Glucose",91
2020-01-04,"04:35:00","Glucose",89
2020-01-04,"04:40:00","Glucose",88
2020-01-04,"04:45:00","Glucose",86
2020-01-04,"04:50:00","Glucose",85
2020-01-04,"04:55:00","Glucose",85
2020-01-04,"05:00:00","Glucose",85
2020-01-04,"05:05:00","Glucose",85
2020-01-04,"05:10:00","Glucose",84
2020-01-04,"05:15:00","Glucose",83
2020-01-04,"05:20:00","Glucose",84
2020-01-04,"05:25:00","Glucose",87
2020-01-04,"05:30:00","Glucose",87
2020-01-04,"05:35:00","Glucose",86
2020-01-04,"05:40:00","Glucose",82
2020-01-04,"05:45:00","Glucose",80
2020-01-04,"05:50:00","Glucose",80
2020-01-04,"05:55:00","Glucose",73
2020-01-04,"06:00:00","Glucose",70
2020-01-04,"06:05:00","Glucose",69
2020-01-04,"06:10:00","Glucose",71
2020-01-04,"06:15:00","Glucose",72
2020-01-04,"06:20:00","Glucose",67
2020-01-04,"06:25:00","Glucose",67
2020-01-04,"06:30:00","Glucose",69
2020-01-04,"06:35:00","Glucose",77
2020-01-04,"06:40:00","Glucose",76
2020-01-04,"06:45:00","Glucose",74
2020-01-04,"06:50:00","Glucose",73
2020-01-04,"06:55:00","Glucose",70
2020-01-04,"07:00:00","Glucose",73
2020-01-04,"07:05:00","Glucose",73
2020-01-04,"07:10:00","Glucose",74
2020-01-04,"07:15:00","Glucose",69
2020-01-04,"07:20:00","Glucose",70
2020-01-04,"07:25:00","Glucose",79
2020-01-04,"07:30:00","Glucose",82
2020-01-04,"07:35:00","Glucose",98
2020-01-04,"07:40:00","Glucose",112
2020-01-04,"07:45:00","Glucose",116
